[0208/222139.423:INFO:CONSOLE(0)] "Document-Policy HTTP header: Unrecognized document policy feature name include-js-call-stacks-in-crash-reports.", source: https://docs.google.com/document/d/1Ko3YyldSGAtlJSqSBgxfq1AzlDd31g_m_hPA67ziIG0/edit (0)
[0209/175709.078:WARNING:spdy_session.cc(3384)] Received HEADERS for invalid stream 9
[0219/195339.494:INFO:CONSOLE(0)] "Autofocus processing was blocked because a document's URL has a fragment '#/newgame/'.", source: asset://garrysmod/html/menu.html#/newgame/ (0)
[0219/224010.204:INFO:CONSOLE(0)] "Autofocus processing was blocked because a document's URL has a fragment '#/newgame/'.", source: asset://garrysmod/html/menu.html#/newgame/ (0)
[0220/170745.944:INFO:CONSOLE(0)] "Autofocus processing was blocked because a document's URL has a fragment '#/newgame/'.", source: asset://garrysmod/html/menu.html#/newgame/ (0)
[0220/171144.021:INFO:CONSOLE(0)] "Autofocus processing was blocked because a document's URL has a fragment '#/newgame/'.", source: asset://garrysmod/html/menu.html#/newgame/ (0)
[0220/171528.135:INFO:CONSOLE(0)] "Autofocus processing was blocked because a document's URL has a fragment '#/newgame/'.", source: asset://garrysmod/html/menu.html#/newgame/ (0)
[0220/172020.714:INFO:CONSOLE(0)] "Autofocus processing was blocked because a document's URL has a fragment '#/newgame/'.", source: asset://garrysmod/html/menu.html#/newgame/ (0)
[0221/000327.257:INFO:CONSOLE(0)] "Autofocus processing was blocked because a document's URL has a fragment '#/newgame/'.", source: asset://garrysmod/html/menu.html#/newgame/ (0)
[0221/203546.534:INFO:CONSOLE(0)] "Autofocus processing was blocked because a document's URL has a fragment '#/newgame/'.", source: asset://garrysmod/html/menu.html#/newgame/ (0)
[0221/203634.904:INFO:CONSOLE(1)] "'window.webkitStorageInfo' is deprecated. Please use 'navigator.webkitTemporaryStorage' or 'navigator.webkitPersistentStorage' instead.", source: https://zoltins.uk/cdn-cgi/challenge-platform/scripts/jsd/main.js (1)
[0221/203635.654:INFO:CONSOLE(1033)] "Game Details: Zoltins Sandbox ❄️⛄❄️⛄🎄🎅 [Build/Kill] gm_novenka sandbox", source: https://zoltins.uk/?steamid=76561199509005790 (1033)
[0221/203635.663:INFO:CONSOLE(1017)] "Uncaught TypeError: Cannot read property 'style' of null", source: https://zoltins.uk/?steamid=76561199509005790 (1017)
[0221/203635.879:INFO:CONSOLE(0)] "Access to XMLHttpRequest at 'https://gameserveranalytics.com/api/query/source/194.69.160.42/27075/info' from origin 'https://zoltins.uk' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource.", source: https://zoltins.uk/?steamid=76561199509005790 (0)
[0221/203635.881:INFO:CONSOLE(919)] "Error fetching server info: AxiosError: Network Error", source: https://zoltins.uk/?steamid=76561199509005790 (919)
[0221/203635.884:INFO:CONSOLE(0)] "Access to XMLHttpRequest at 'https://gameserveranalytics.com/api/query/source/194.69.160.42/27075/players' from origin 'https://zoltins.uk' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource.", source: https://zoltins.uk/?steamid=76561199509005790 (0)
[0221/203635.885:INFO:CONSOLE(961)] "Error fetching player list: AxiosError: Network Error", source: https://zoltins.uk/?steamid=76561199509005790 (961)
[0221/203640.570:INFO:CONSOLE(1056)] "Files needed: 74", source: https://zoltins.uk/?steamid=76561199509005790 (1056)
